,neg,neu,pos,compound,place_id
296,0.457,0.543,0.0,-0.5209,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
297,0.0,0.737,0.263,0.6124,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
298,0.148,0.765,0.087,-0.4523,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
299,0.0,0.759,0.241,0.743,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
300,0.0,0.763,0.237,0.6808,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
301,0.0,0.819,0.181,0.4939,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
302,0.0,0.343,0.657,0.9244,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
303,0.0,0.588,0.412,0.8807,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
304,0.0,0.882,0.118,0.4854,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
305,0.0,1.0,0.0,0.0,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
306,0.0,0.615,0.385,0.7579,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
307,0.0,0.629,0.371,0.5994,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
308,0.0,0.541,0.459,0.7783,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
